,state,year,quarter,district,count,amount,registeredUsers,appOpens,date,hdi,population
0,Andaman and Nicobar,2019,3,north and middle andaman district,4049,11481466.283356793,2662,22064,2019-01-01,0.741,399001
1,Andaman and Nicobar,2019,3,south andaman district,27421,91023888.32848613,20518,138190,2019-01-01,0.741,399001
2,Andaman and Nicobar,2019,3,nicobars district,2300,11566421.475451011,751,10853,2019-01-01,0.741,399001
3,Andaman and Nicobar,2019,2,north and middle andaman district,3371,8612103.137888122,2417,6118,2019-01-01,0.741,399001
4,Andaman and Nicobar,2019,2,south andaman district,28490,102530955.71341258,18621,43569,2019-01-01,0.741,399001
5,Andaman and Nicobar,2019,2,nicobars district,1828,9111650.82436246,693,2953,2019-01-01,0.741,399001
6,Andaman and Nicobar,2019,1,north and middle andaman district,3264,9561708.736298349,2013,0,2019-01-01,0.741,399001
7,Andaman and Nicobar,2019,1,south andaman district,25683,85501972.38780196,15961,0,2019-01-01,0.741,399001
8,Andaman and Nicobar,2019,1,nicobars district,1539,7236059.549389593,622,0,2019-01-01,0.741,399001
9,Andaman and Nicobar,2019,4,north and middle andaman district,4716,13524056.784573946,2955,26253,2019-01-01,0.741,399001
10,Andaman and Nicobar,2019,4,south andaman district,27843,110930312.20611623,22202,139646,2019-01-01,0.741,399001
11,Andaman and Nicobar,2019,4,nicobars district,2600,12384161.52668771,803,11113,2019-01-01,0.741,399001
12,Andaman and Nicobar,2021,3,north and middle andaman district,46592,118254865.82750683,9263,759314,2021-01-01,0.741,399001
13,Andaman and Nicobar,2021,3,south andaman district,382418,1116789010.6459613,55873,1771107,2021-01-01,0.741,399001
14,Andaman and Nicobar,2021,3,nicobars district,20754,74980519.3281361,1846,591204,2021-01-01,0.741,399001
15,Andaman and Nicobar,2021,2,north and middle andaman district,39200,90233388.79463302,8493,596182,2021-01-01,0.741,399001
16,Andaman and Nicobar,2021,2,south andaman district,286907,760893020.5704944,51903,1270226,2021-01-01,0.741,399001
