,state,year,quarter,brand,count,percentage,date,hdi,population
0,Andaman and Nicobar,2019,3,Xiaomi,5819,0.24315741088964105,2019-01-01,0.741,399001
1,Andaman and Nicobar,2019,3,Vivo,4685,0.19577117546278885,2019-01-01,0.741,399001
2,Andaman and Nicobar,2019,3,Samsung,4508,0.1883749112030421,2019-01-01,0.741,399001
3,Andaman and Nicobar,2019,3,Oppo,2108,0.08808658225732313,2019-01-01,0.741,399001
4,Andaman and Nicobar,2019,3,Realme,1158,0.04838911871630939,2019-01-01,0.741,399001
5,Andaman and Nicobar,2019,3,OnePlus,1045,0.04366720989511512,2019-01-01,0.741,399001
6,Andaman and Nicobar,2019,3,Huawei,725,0.030295432702352597,2019-01-01,0.741,399001
7,Andaman and Nicobar,2019,3,Motorola,660,0.02757929046007271,2019-01-01,0.741,399001
8,Andaman and Nicobar,2019,3,Apple,630,0.026325686348251224,2019-01-01,0.741,399001
9,Andaman and Nicobar,2019,3,Lenovo,483,0.020183026200325936,2019-01-01,0.741,399001
10,Andaman and Nicobar,2019,3,Others,2110,0.0881701558647779,2019-01-01,0.741,399001
11,Andaman and Nicobar,2019,2,Xiaomi,5296,0.24370714647278083,2019-01-01,0.741,399001
12,Andaman and Nicobar,2019,2,Samsung,4165,0.19166168146886936,2019-01-01,0.741,399001
13,Andaman and Nicobar,2019,2,Vivo,4102,0.18876259721135705,2019-01-01,0.741,399001
14,Andaman and Nicobar,2019,2,Oppo,1905,0.08766278588191984,2019-01-01,0.741,399001
15,Andaman and Nicobar,2019,2,Realme,1012,0.04656941696194377,2019-01-01,0.741,399001
16,Andaman and Nicobar,2019,2,OnePlus,950,0.04371634991486816,2019-01-01,0.741,399001
17,Andaman and Nicobar,2019,2,Huawei,644,0.029635083521236942,2019-01-01,0.741,399001
18,Andaman and Nicobar,2019,2,Motorola,630,0.028990842575123098,2019-01-01,0.741,399001
19,Andaman and Nicobar,2019,2,Apple,569,0.026183792738484195,2019-01-01,0.741,399001
20,Andaman and Nicobar,2019,2,Lenovo,477,0.021950209378307488,2019-01-01,0.741,399001
21,Andaman and Nicobar,2019,2,Others,1981,0.09116009387510929,2019-01-01,0.741,399001
22,Andaman and Nicobar,2019,1,Xiaomi,4576,0.24607442460744247,2019-01-01,0.741,399001
23,Andaman and Nicobar,2019,1,Samsung,3567,0.19181544418154442,2019-01-01,0.741,399001
24,Andaman and Nicobar,2019,1,Vivo,3420,0.18391051839105185,2019-01-01,0.741,399001
25,Andaman and Nicobar,2019,1,Oppo,1600,0.08604000860400086,2019-01-01,0.741,399001
26,Andaman and Nicobar,2019,1,Realme,897,0.04823617982361798,2019-01-01,0.741,399001
27,Andaman and Nicobar,2019,1,OnePlus,855,0.04597762959776296,2019-01-01,0.741,399001
28,Andaman and Nicobar,2019,1,Motorola,561,0.0301677780167778,2019-01-01,0.741,399001
29,Andaman and Nicobar,2019,1,Apple,515,0.027694127769412775,2019-01-01,0.741,399001
30,Andaman and Nicobar,2019,1,Huawei,515,0.027694127769412775,2019-01-01,0.741,399001
31,Andaman and Nicobar,2019,1,Lenovo,426,0.02290815229081523,2019-01-01,0.741,399001
32,Andaman and Nicobar,2019,1,Others,1664,0.0894816089481609,2019-01-01,0.741,399001
33,Andaman and Nicobar,2019,4,Xiaomi,6259,0.24110169491525424,2019-01-01,0.741,399001
34,Andaman and Nicobar,2019,4,Vivo,5190,0.19992295839753466,2019-01-01,0.741,399001
35,Andaman and Nicobar,2019,4,Samsung,4900,0.18875192604006163,2019-01-01,0.741,399001
36,Andaman and Nicobar,2019,4,Oppo,2329,0.08971494607087828,2019-01-01,0.741,399001
37,Andaman and Nicobar,2019,4,Realme,1329,0.051194144838212635,2019-01-01,0.741,399001
38,Andaman and Nicobar,2019,4,OnePlus,1124,0.04329738058551618,2019-01-01,0.741,399001
39,Andaman and Nicobar,2019,4,Huawei,798,0.03073959938366718,2019-01-01,0.741,399001
40,Andaman and Nicobar,2019,4,Motorola,682,0.026271186440677965,2019-01-01,0.741,399001
41,Andaman and Nicobar,2019,4,Apple,678,0.026117103235747303,2019-01-01,0.741,399001
42,Andaman and Nicobar,2019,4,Lenovo,488,0.018798151001540832,2019-01-01,0.741,399001
43,Andaman and Nicobar,2019,4,Others,2183,0.08409090909090909,2019-01-01,0.741,399001
44,Andaman and Nicobar,2021,3,Vivo,16411,0.24500612104744557,2021-01-01,0.741,399001
45,Andaman and Nicobar,2021,3,Xiaomi,15938,0.2379445224090054,2021-01-01,0.741,399001
46,Andaman and Nicobar,2021,3,Samsung,12028,0.17957063091576841,2021-01-01,0.741,399001
47,Andaman and Nicobar,2021,3,Oppo,5853,0.0873816846316921,2021-01-01,0.741,399001
48,Andaman and Nicobar,2021,3,Realme,4808,0.0717804783374638,2021-01-01,0.741,399001
49,Andaman and Nicobar,2021,3,OnePlus,2306,0.03442715953539757,2021-01-01,0.741,399001
50,Andaman and Nicobar,2021,3,Huawei,1567,0.023394344749335643,2021-01-01,0.741,399001
51,Andaman and Nicobar,2021,3,Apple,1283,0.01915439968946881,2021-01-01,0.741,399001
52,Andaman and Nicobar,2021,3,Tecno,1178,0.017586814368039175,2021-01-01,0.741,399001
53,Andaman and Nicobar,2021,3,Motorola,1017,0.015183183541847063,2021-01-01,0.741,399001
54,Andaman and Nicobar,2021,3,Others,4593,0.06857066077453644,2021-01-01,0.741,399001
