,state,year,quarter,type,count,amount,date,hdi,population
0,Andaman and Nicobar,2019,3,Recharge & bill payments,16219,8171737.705916681,2019-01-01,0.741,399001
1,Andaman and Nicobar,2019,3,Peer-to-peer payments,13767,101079821.10344616,2019-01-01,0.741,399001
2,Andaman and Nicobar,2019,3,Merchant payments,3519,4428734.574846684,2019-01-01,0.741,399001
3,Andaman and Nicobar,2019,3,Financial Services,50,158857.94315586874,2019-01-01,0.741,399001
4,Andaman and Nicobar,2019,3,Others,215,232624.75992853564,2019-01-01,0.741,399001
5,Andaman and Nicobar,2019,2,Recharge & bill payments,14676,7242448.256212333,2019-01-01,0.741,399001
6,Andaman and Nicobar,2019,2,Peer-to-peer payments,14481,107525358.66652842,2019-01-01,0.741,399001
7,Andaman and Nicobar,2019,2,Merchant payments,4031,4702152.616619372,2019-01-01,0.741,399001
8,Andaman and Nicobar,2019,2,Financial Services,124,113278.91371326067,2019-01-01,0.741,399001
9,Andaman and Nicobar,2019,2,Others,377,671471.222589792,2019-01-01,0.741,399001
10,Andaman and Nicobar,2019,1,Recharge & bill payments,15263,6611459.8729725825,2019-01-01,0.741,399001
11,Andaman and Nicobar,2019,1,Peer-to-peer payments,13119,91808345.86839552,2019-01-01,0.741,399001
12,Andaman and Nicobar,2019,1,Merchant payments,1759,3266589.8469614363,2019-01-01,0.741,399001
13,Andaman and Nicobar,2019,1,Financial Services,62,116250.43671861099,2019-01-01,0.741,399001
14,Andaman and Nicobar,2019,1,Others,283,497094.6484417205,2019-01-01,0.741,399001
15,Andaman and Nicobar,2019,4,Peer-to-peer payments,18128,121493224.30754511,2019-01-01,0.741,399001
16,Andaman and Nicobar,2019,4,Recharge & bill payments,13851,9538690.916424634,2019-01-01,0.741,399001
17,Andaman and Nicobar,2019,4,Merchant payments,2920,5247500.487902376,2019-01-01,0.741,399001
18,Andaman and Nicobar,2019,4,Financial Services,60,295937.2110898865,2019-01-01,0.741,399001
19,Andaman and Nicobar,2019,4,Others,200,263177.5944158883,2019-01-01,0.741,399001
20,Andaman and Nicobar,2021,3,Peer-to-peer payments,192321,1077787837.1562996,2021-01-01,0.741,399001
21,Andaman and Nicobar,2021,3,Recharge & bill payments,136010,51243450.85925055,2021-01-01,0.741,399001
22,Andaman and Nicobar,2021,3,Merchant payments,118340,176991328.21761328,2021-01-01,0.741,399001
23,Andaman and Nicobar,2021,3,Financial Services,990,2351013.441729573,2021-01-01,0.741,399001
24,Andaman and Nicobar,2021,3,Others,2103,1650766.1267105162,2021-01-01,0.741,399001
25,Andaman and Nicobar,2021,2,Peer-to-peer payments,132772,748382044.7707307,2021-01-01,0.741,399001
26,Andaman and Nicobar,2021,2,Recharge & bill payments,120911,43691961.26275121,2021-01-01,0.741,399001
27,Andaman and Nicobar,2021,2,Merchant payments,85143,103707408.50908463,2021-01-01,0.741,399001
28,Andaman and Nicobar,2021,2,Financial Services,960,2038521.5136710338,2021-01-01,0.741,399001
29,Andaman and Nicobar,2021,2,Others,1628,1327080.0560584562,2021-01-01,0.741,399001
30,Andaman and Nicobar,2021,1,Peer-to-peer payments,105458,665391395.715478,2021-01-01,0.741,399001
31,Andaman and Nicobar,2021,1,Recharge & bill payments,84119,37160922.86506996,2021-01-01,0.741,399001
32,Andaman and Nicobar,2021,1,Merchant payments,53090,78606979.05751458,2021-01-01,0.741,399001
33,Andaman and Nicobar,2021,1,Financial Services,884,1469351.0852598653,2021-01-01,0.741,399001
34,Andaman and Nicobar,2021,1,Others,1201,1077918.666433228,2021-01-01,0.741,399001
35,Andaman and Nicobar,2021,4,Peer-to-peer payments,285778,1544932663.2744582,2021-01-01,0.741,399001
36,Andaman and Nicobar,2021,4,Merchant payments,210164,322842314.62433755,2021-01-01,0.741,399001
37,Andaman and Nicobar,2021,4,Recharge & bill payments,135608,59243518.11464358,2021-01-01,0.741,399001
38,Andaman and Nicobar,2021,4,Financial Services,1718,3137965.167474068,2021-01-01,0.741,399001
39,Andaman and Nicobar,2021,4,Others,2855,2453640.142743944,2021-01-01,0.741,399001
40,Andaman and Nicobar,2018,3,Recharge & bill payments,8636,4343504.868377829,2018-01-01,0.741,399001
41,Andaman and Nicobar,2018,3,Peer-to-peer payments,6448,49270781.541635044,2018-01-01,0.741,399001
42,Andaman and Nicobar,2018,3,Merchant payments,945,1627359.8394868043,2018-01-01,0.741,399001
43,Andaman and Nicobar,2018,3,Financial Services,42,1481.4907042806485,2018-01-01,0.741,399001
44,Andaman and Nicobar,2018,3,Others,194,314343.39410715323,2018-01-01,0.741,399001
45,Andaman and Nicobar,2018,2,Recharge & bill payments,6735,2320944.731074479,2018-01-01,0.741,399001
46,Andaman and Nicobar,2018,2,Peer-to-peer payments,3575,24511925.231047668,2018-01-01,0.741,399001
47,Andaman and Nicobar,2018,2,Merchant payments,603,1024491.0133579008,2018-01-01,0.741,399001
48,Andaman and Nicobar,2018,2,Financial Services,59,121336.0270987509,2018-01-01,0.741,399001
49,Andaman and Nicobar,2018,2,Others,368,359838.50537474576,2018-01-01,0.741,399001
50,Andaman and Nicobar,2018,1,Recharge & bill payments,4200,1845307.4673655091,2018-01-01,0.741,399001
51,Andaman and Nicobar,2018,1,Peer-to-peer payments,1871,12138655.299749982,2018-01-01,0.741,399001
52,Andaman and Nicobar,2018,1,Merchant payments,298,452507.168646613,2018-01-01,0.741,399001
53,Andaman and Nicobar,2018,1,Financial Services,33,10601.419933464953,2018-01-01,0.741,399001
54,Andaman and Nicobar,2018,1,Others,256,184689.8662902223,2018-01-01,0.741,399001
55,Andaman and Nicobar,2018,4,Recharge & bill payments,11517,5450549.512294375,2018-01-01,0.741,399001
56,Andaman and Nicobar,2018,4,Peer-to-peer payments,10451,81001456.97825177,2018-01-01,0.741,399001
57,Andaman and Nicobar,2018,4,Merchant payments,1421,3552027.735492656,2018-01-01,0.741,399001
58,Andaman and Nicobar,2018,4,Financial Services,29,76035.7877393286,2018-01-01,0.741,399001
59,Andaman and Nicobar,2018,4,Others,340,468266.0606770435,2018-01-01,0.741,399001
60,Andaman and Nicobar,2020,3,Recharge & bill payments,59310,24756220.875469353,2020-01-01,0.741,399001
61,Andaman and Nicobar,2020,3,Peer-to-peer payments,40697,289078946.7312394,2020-01-01,0.741,399001
62,Andaman and Nicobar,2020,3,Merchant payments,16096,22682992.238478824,2020-01-01,0.741,399001
63,Andaman and Nicobar,2020,3,Financial Services,572,961836.7129860274,2020-01-01,0.741,399001
64,Andaman and Nicobar,2020,3,Others,808,539449.7721868362,2020-01-01,0.741,399001
65,Andaman and Nicobar,2020,2,Recharge & bill payments,38125,17659622.73418829,2020-01-01,0.741,399001
66,Andaman and Nicobar,2020,2,Peer-to-peer payments,20303,141728757.73517442,2020-01-01,0.741,399001
67,Andaman and Nicobar,2020,2,Merchant payments,4004,9236375.740471343,2020-01-01,0.741,399001
68,Andaman and Nicobar,2020,2,Financial Services,175,706932.1397115812,2020-01-01,0.741,399001
69,Andaman and Nicobar,2020,2,Others,355,313313.0646014327,2020-01-01,0.741,399001
70,Andaman and Nicobar,2020,1,Peer-to-peer payments,18324,142332401.79234773,2020-01-01,0.741,399001
71,Andaman and Nicobar,2020,1,Recharge & bill payments,18268,10850414.023977457,2020-01-01,0.741,399001
72,Andaman and Nicobar,2020,1,Merchant payments,4424,7752871.558217709,2020-01-01,0.741,399001
73,Andaman and Nicobar,2020,1,Financial Services,66,208231.73071652642,2020-01-01,0.741,399001
74,Andaman and Nicobar,2020,1,Others,216,332393.19201521645,2020-01-01,0.741,399001
75,Andaman and Nicobar,2020,4,Peer-to-peer payments,81439,533316526.1814983,2020-01-01,0.741,399001
76,Andaman and Nicobar,2020,4,Recharge & bill payments,80811,33710030.534383245,2020-01-01,0.741,399001
77,Andaman and Nicobar,2020,4,Merchant payments,59391,56867468.940003954,2020-01-01,0.741,399001
78,Andaman and Nicobar,2020,4,Financial Services,965,1880546.9672370641,2020-01-01,0.741,399001
79,Andaman and Nicobar,2020,4,Others,1925,1508083.6917299272,2020-01-01,0.741,399001
80,Andaman and Nicobar,2022,1,Peer-to-peer payments,342649,1682328505.7254477,2022-01-01,0.741,399001
81,Andaman and Nicobar,2022,1,Merchant payments,284298,370091558.68373305,2022-01-01,0.741,399001
82,Andaman and Nicobar,2022,1,Recharge & bill payments,163401,71300133.66101266,2022-01-01,0.741,399001
83,Andaman and Nicobar,2022,1,Financial Services,1757,2869682.0229511866,2022-01-01,0.741,399001
84,Andaman and Nicobar,2022,1,Others,2643,2440321.9820225406,2022-01-01,0.741,399001
85,Bihar,2019,3,Peer-to-peer payments,15446119,61831776093.09613,2019-01-01,0.574,128500364
86,Bihar,2019,3,Recharge & bill payments,9115040,2140566974.705637,2019-01-01,0.574,128500364
87,Bihar,2019,3,Merchant payments,7206001,3413490288.3137074,2019-01-01,0.574,128500364
88,Bihar,2019,3,Financial Services,89997,20145460.42764103,2019-01-01,0.574,128500364
89,Bihar,2019,3,Others,282743,286804437.7358033,2019-01-01,0.574,128500364
90,Bihar,2019,2,Peer-to-peer payments,15837449,58381285240.80835,2019-01-01,0.574,128500364
91,Bihar,2019,2,Recharge & bill payments,9279442,1996804238.2749753,2019-01-01,0.574,128500364
92,Bihar,2019,2,Merchant payments,4365465,2308145849.844257,2019-01-01,0.574,128500364
93,Bihar,2019,2,Financial Services,129603,63338108.53755434,2019-01-01,0.574,128500364
94,Bihar,2019,2,Others,348520,382864846.0767575,2019-01-01,0.574,128500364
95,Bihar,2019,1,Peer-to-peer payments,16807040,38824078062.32093,2019-01-01,0.574,128500364
96,Bihar,2019,1,Recharge & bill payments,7036367,1333688182.5386746,2019-01-01,0.574,128500364
97,Bihar,2019,1,Merchant payments,2055267,1024996999.5279309,2019-01-01,0.574,128500364
98,Bihar,2019,1,Financial Services,204689,28599535.734409343,2019-01-01,0.574,128500364
99,Bihar,2019,1,Others,252871,291464734.4043106,2019-01-01,0.574,128500364
100,Bihar,2019,4,Peer-to-peer payments,26337842,86340631422.24606,2019-01-01,0.574,128500364
101,Bihar,2019,4,Recharge & bill payments,11358597,2649616529.830146,2019-01-01,0.574,128500364
102,Bihar,2019,4,Merchant payments,5519582,4177574379.0405855,2019-01-01,0.574,128500364
103,Bihar,2019,4,Financial Services,100192,18815964.761792127,2019-01-01,0.574,128500364
104,Bihar,2019,4,Others,214101,126788281.9306988,2019-01-01,0.574,128500364
105,Bihar,2021,3,Peer-to-peer payments,92785704,331514102784.2631,2021-01-01,0.574,128500364
106,Bihar,2021,3,Merchant payments,64094961,53849745604.9643,2021-01-01,0.574,128500364
107,Bihar,2021,3,Recharge & bill payments,30081746,11327303470.019915,2021-01-01,0.574,128500364
108,Bihar,2021,3,Financial Services,135748,130349071.61901987,2021-01-01,0.574,128500364
109,Bihar,2021,3,Others,572954,241260025.54569885,2021-01-01,0.574,128500364
110,Bihar,2021,2,Peer-to-peer payments,78694099,319758683264.15344,2021-01-01,0.574,128500364
111,Bihar,2021,2,Merchant payments,44686786,43458914639.77138,2021-01-01,0.574,128500364
112,Bihar,2021,2,Recharge & bill payments,31646149,11030849713.502428,2021-01-01,0.574,128500364
113,Bihar,2021,2,Financial Services,149791,116086345.91301711,2021-01-01,0.574,128500364
114,Bihar,2021,2,Others,426797,215721223.2386405,2021-01-01,0.574,128500364
115,Bihar,2021,1,Peer-to-peer payments,58566582,242013312361.31104,2021-01-01,0.574,128500364
116,Bihar,2021,1,Merchant payments,33959313,30171144593.369873,2021-01-01,0.574,128500364
117,Bihar,2021,1,Recharge & bill payments,21974086,8505455545.448764,2021-01-01,0.574,128500364
118,Bihar,2021,1,Financial Services,124277,112949858.25028673,2021-01-01,0.574,128500364
119,Bihar,2021,1,Others,308219,170787342.8481179,2021-01-01,0.574,128500364
