,state,year,quarter,pincode,count,amount,registeredUsers,longitude,latitude,date,hdi,population
0,Andaman and Nicobar,2019,3,744103,5680,19906337.014255583,5218,92.6167,11.7167,2019-01-01,0.741,399001
1,Andaman and Nicobar,2019,3,744101,5606,18745152.093515635,4026,92.7026,11.6647,2019-01-01,0.741,399001
2,Andaman and Nicobar,2019,3,744104,4786,15754793.354826454,975,92.7026,11.6647,2019-01-01,0.741,399001
3,Andaman and Nicobar,2019,3,744102,3643,14572605.602745283,3250,92.7167,11.6833,2019-01-01,0.741,399001
4,Andaman and Nicobar,2019,3,744105,3512,11767223.99688773,3920,92.7333,11.6,2019-01-01,0.741,399001
5,Andaman and Nicobar,2019,3,744202,1417,3875602.0982028744,982,92.9389,13.2667,2019-01-01,0.741,399001
6,Andaman and Nicobar,2019,3,744301,1402,6195496.621729916,575,92.94396,9.1833,2019-01-01,0.741,399001
7,Andaman and Nicobar,2019,3,744211,1118,2983697.449378184,701,92.7718,12.1853,2019-01-01,0.741,399001
8,Andaman and Nicobar,2019,3,744107,914,1988299.759710987,885,92.7026,11.6647,2019-01-01,0.741,399001
9,Andaman and Nicobar,2019,3,744112,833,2198831.6919406196,765,92.7026,11.6647,2019-01-01,0.741,399001
10,Andaman and Nicobar,2019,2,744104,6142,15625676.560883244,878,92.7026,11.6647,2019-01-01,0.741,399001
11,Andaman and Nicobar,2019,2,744103,5847,23751450.067206983,4748,92.6167,11.7167,2019-01-01,0.741,399001
12,Andaman and Nicobar,2019,2,744101,4863,19061125.41121897,3631,92.7026,11.6647,2019-01-01,0.741,399001
13,Andaman and Nicobar,2019,2,744102,4120,18948733.987097777,3008,92.7167,11.6833,2019-01-01,0.741,399001
14,Andaman and Nicobar,2019,2,744105,3500,13418692.199162653,3547,92.7333,11.6,2019-01-01,0.741,399001
15,Andaman and Nicobar,2019,2,744202,1153,3619993.3910789257,885,92.9389,13.2667,2019-01-01,0.741,399001
16,Andaman and Nicobar,2019,2,744107,1124,2967445.3902032813,787,92.7026,11.6647,2019-01-01,0.741,399001
17,Andaman and Nicobar,2019,2,744211,1047,3168331.9917352106,633,92.7718,12.1853,2019-01-01,0.741,399001
18,Andaman and Nicobar,2019,2,744301,1007,4849284.51925976,534,92.94396,9.1833,2019-01-01,0.741,399001
19,Andaman and Nicobar,2019,2,744112,763,2928099.608406143,672,92.7026,11.6647,2019-01-01,0.741,399001
20,Andaman and Nicobar,2019,1,744103,5742,19401964.77965755,4136,92.6167,11.7167,2019-01-01,0.741,399001
21,Andaman and Nicobar,2019,1,744101,5156,15501306.227195919,3030,92.7026,11.6647,2019-01-01,0.741,399001
22,Andaman and Nicobar,2019,1,744102,3925,16683547.094795756,2667,92.7167,11.6833,2019-01-01,0.741,399001
23,Andaman and Nicobar,2019,1,744105,3553,11588669.48032856,2994,92.7333,11.6,2019-01-01,0.741,399001
24,Andaman and Nicobar,2019,1,744104,2833,9141657.219605077,756,92.7026,11.6647,2019-01-01,0.741,399001
25,Andaman and Nicobar,2019,1,744211,1511,5794838.401831552,524,92.7718,12.1853,2019-01-01,0.741,399001
26,Andaman and Nicobar,2019,1,744202,1112,3613381.294736007,753,92.9389,13.2667,2019-01-01,0.741,399001
27,Andaman and Nicobar,2019,1,744107,1029,3592930.2975779255,667,92.7026,11.6647,2019-01-01,0.741,399001
28,Andaman and Nicobar,2019,1,744301,920,4652963.41114777,488,92.94396,9.1833,2019-01-01,0.741,399001
29,Andaman and Nicobar,2019,1,744112,802,1893718.6537822199,585,92.7026,11.6647,2019-01-01,0.741,399001
30,Andaman and Nicobar,2019,4,744104,6633,20626642.701508522,1062,92.7026,11.6647,2019-01-01,0.741,399001
31,Andaman and Nicobar,2019,4,744101,5282,23247752.473849062,4321,92.7026,11.6647,2019-01-01,0.741,399001
32,Andaman and Nicobar,2019,4,744103,4840,19792507.955761045,5637,92.6167,11.7167,2019-01-01,0.741,399001
