date,state,count,amount,registeredUsers,date_id
2018-01-01,0,8522766,13308204118.5422,3315560,0
2018-01-01,1,947657,1017904097.0272435,185209,0
2018-01-01,2,481918,628737806.3723382,227373,0
2018-01-01,3,1870433,2780758224.854406,847142,0
2018-01-01,4,381895,613435420.8676233,86268,0
2018-01-01,5,1246685,1508545358.5238895,483043,0
2018-01-01,6,4480770,6793511514.660354,1847357,0
2018-01-01,7,7122754,11211503806.919958,2087022,0
2018-01-01,8,7591690,8926293130.726667,3158202,0
2018-01-01,9,12537805,13939970923.222141,4694250,0
2018-01-01,10,5824302,6045758172.017119,2133804,0
2018-01-01,11,44078,64650938.94036843,20051,0
2018-01-01,12,45497,92387336.00940923,21168,0
2018-01-01,13,42845,78005891.08612509,15074,0
2018-01-01,14,84069,128046173.93020909,29925,0
2018-01-01,15,18561,45227219.97579085,7593,0
2018-01-01,16,148157,137978914.5306226,55157,0
2018-01-01,17,49571,66250259.78990053,18513,0
2018-01-01,18,1056881,1157804456.2124698,385237,0
2018-01-01,19,11710225,10625978552.140108,2604789,0
2018-01-01,20,2178921,2374186389.9193916,885762,0
2018-01-01,21,5809821,4627632210.887463,1594015,0
2018-01-01,22,1891514,2149155557.2367706,679263,0
2018-01-01,23,8025395,8681603403.445732,2553603,0
2018-01-01,24,5948775,7577982255.033993,2690048,0
2018-01-01,25,148549,175658384.10921687,53258,0
2018-01-01,27,16387034,21711613257.725048,6106994,0
2018-01-01,28,9039585,11996276391.823053,3336450,0
2018-01-01,29,12016899,19217895314.012764,3717763,0
2018-01-01,30,160897,303856742.3430836,91936,0
2018-01-01,31,778,1928611.1808777403,501,0
2018-01-01,32,1771380,2402674753.1005144,784184,0
2018-01-01,33,6726622,11261557697.516497,2104754,0
2018-01-01,34,104212,165825971.36983615,49318,0
2018-01-01,35,6658,14631761.22198579,6740,0
2018-02-01,0,10764670,23017201517.652706,4260115,31
2018-02-01,1,1811336,2698541139.040612,274527,31
2018-02-01,2,687695,1183169301.3511248,315299,31
2018-02-01,3,2581163,4684672212.007043,1152190,31
2018-02-01,4,479084,961223261.74473,115219,31
2018-02-01,5,1704122,2679755378.551043,649142,31
2018-02-01,6,6150931,11320414442.116571,2447221,31
2018-02-01,7,9373723,17446299902.20515,2756141,31
2018-02-01,8,9973697,15559086175.758574,4212964,31
2018-02-01,9,17710943,25720201695.701508,6442554,31
2018-02-01,10,8632378,13506131109.672344,3005872,31
2018-02-01,11,74578,143693085.5297956,28097,31
2018-02-01,12,82157,198970192.34204647,32803,31
2018-02-01,13,65599,153325577.88030154,22436,31
2018-02-01,14,151721,253209721.31949443,46055,31
2018-02-01,15,27051,83508405.55773434,10422,31
2018-02-01,16,214559,236891718.71613598,83369,31
2018-02-01,17,67857,117004667.84183155,26618,31
2018-02-01,18,1663873,2350585135.5377946,571046,31
2018-02-01,19,18082446,18629183470.204052,3833795,31
2018-02-01,20,3152080,4721575659.062874,1230599,31
2018-02-01,21,8158144,8488310339.619964,2185781,31
2018-02-01,22,2816156,4264170443.1616635,950675,31
2018-02-01,23,10561412,15924081066.680029,3441662,31
2018-02-01,24,7745733,12162684771.641142,3565825,31
2018-02-01,25,202626,302070771.6561516,71458,31
2018-02-01,27,22285740,36357057241.12164,8222371,31
2018-02-01,28,12353918,22883914272.633934,4402540,31
2018-02-01,29,17116447,33515580081.302555,5030665,31
2018-02-01,30,229575,478603825.3586153,122174,31
2018-02-01,31,2132,6187809.539400538,686,31
2018-02-01,32,2308165,3886923343.442632,1066587,31
2018-02-01,33,9992128,20125844276.267284,2996036,31
2018-02-01,34,130261,285801119.53243685,65580,31
2018-02-01,35,11340,28338535.507953543,9405,31
2018-03-01,0,19332703,32030093209.723316,5138501,59
2018-03-01,1,2328825,4018791976.602527,360278,59
2018-03-01,2,886754,1754041432.858032,407634,59
2018-03-01,3,3462108,7065687043.821237,1473148,59
